,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
277,ryotsu,75,JP,1580101516,60,42.8,38.08,138.43,13.87
278,ternate,96,ID,1580101516,66,85.78,0.8,127.4,6.35
279,mango,75,US,1580101516,87,59.0,27.98,-82.31,5.03
280,necochea,0,AR,1580101516,66,59.0,-38.55,-58.74,8.01
281,carballo,75,ES,1580101516,93,54.0,43.21,-8.69,3.36
282,trelew,41,AR,1580101516,45,53.38,-43.25,-65.31,9.69
283,choix,0,MX,1580101517,59,66.94,26.71,-108.32,0.38
284,tiruttani,28,IN,1580101517,64,82.4,13.18,79.61,3.36
285,siavonga,32,ZM,1580101517,72,76.17,-16.54,28.71,8.63
286,coihaique,94,CL,1580101517,58,53.6,-45.58,-72.07,3.36
287,ponta delgada,20,PT,1580101517,88,62.6,37.73,-25.67,13.87
288,seymchan,100,RU,1580101517,99,-28.66,62.88,152.43,2.37
289,antofagasta,90,CL,1580101518,88,72.0,-23.65,-70.4,8.05
290,si sa ket,75,TH,1580101518,58,82.4,15.11,104.33,4.7
291,ludwigslust,83,DE,1580101518,96,37.0,53.32,11.5,1.99
292,gat,100,IL,1580101426,87,46.0,31.61,34.76,1.12
293,tessalit,100,ML,1580101518,11,65.57,20.2,1.01,5.46
294,eyl,16,SO,1580101518,76,79.34,7.98,49.82,29.21
295,chernyshevskiy,78,RU,1580101519,95,-3.69,63.01,112.47,6.49
296,zemio,74,CF,1580101519,23,70.12,5.03,25.14,7.7
297,walvis bay,46,NA,1580101519,87,60.01,-22.96,14.51,5.82
298,nata,100,PA,1580101519,25,71.01,8.33,-80.52,5.28
299,tuatapere,94,NZ,1580101519,73,63.0,-46.13,167.68,8.01
300,pouembout,87,NC,1580101519,52,82.4,-21.13,164.9,6.51
301,kloulklubed,75,PW,1580101520,70,86.0,7.04,134.26,8.05
302,luganville,75,VU,1580101520,70,86.0,-15.53,167.17,9.17
303,jacareacanga,82,BR,1580101520,94,74.01,-6.22,-57.75,2.73
304,krasnoye,94,UA,1580101520,92,26.6,49.91,24.61,3.8
305,capul,51,PH,1580101520,75,81.19,12.42,124.18,5.46
306,longyearbyen,51,SJ,1580101520,77,3.2,78.22,15.64,3.36
307,lufilufi,75,WS,1580101521,83,82.4,-13.87,-171.6,9.82
308,torbat-e jam,0,IR,1580101521,58,36.59,35.24,60.62,10.56
309,yaguajay,0,CU,1580101432,77,72.27,22.33,-79.24,7.58
310,husavik,59,IS,1580101521,79,21.2,66.04,-17.34,11.41
311,gumdag,0,TM,1580101521,62,46.0,39.21,54.59,11.18
312,pevek,100,RU,1580101522,92,-3.24,69.7,170.31,3.31
313,fredericksburg,1,US,1580101248,84,39.2,38.3,-77.46,2.71
314,talakan,42,RU,1580101522,89,7.57,50.32,130.37,3.78
315,sicuani,100,PE,1580101522,98,34.95,-14.27,-71.23,4.23
316,ulladulla,59,AU,1580101522,55,96.01,-35.35,150.47,13.87
317,prince rupert,90,CA,1580101522,87,42.8,54.32,-130.32,21.92
318,narsaq,96,GL,1580101523,65,8.6,60.92,-46.05,4.7
319,doha,0,QA,1580101523,58,64.0,25.29,51.53,13.87
320,kefalos,40,GR,1580101523,76,55.4,36.75,26.96,8.05
321,pervomayskiy,100,RU,1580101523,96,33.82,53.25,40.29,13.76
322,lowicz,100,PL,1580101523,92,32.0,52.11,19.95,5.82
323,moyale,99,KE,1580101523,76,74.79,3.52,39.06,11.39
324,kaeo,35,NZ,1580101524,75,79.0,-35.1,173.78,10.11
325,freeport,1,US,1580101524,69,39.99,40.66,-73.58,20.02
326,faanui,39,PF,1580101524,74,83.48,-16.48,-151.75,10.13
327,camana,96,PE,1580101524,90,66.72,-16.62,-72.71,3.56
328,bubaque,84,GW,1580101524,48,77.67,11.28,-15.83,13.85
329,ucluelet,97,CA,1580101424,92,46.0,48.93,-125.55,1.01
330,coahuayana,5,MX,1580101525,88,66.2,18.73,-103.68,4.76
331,hirado,75,JP,1580101525,81,53.01,33.36,129.55,19.46
332,guerrero negro,10,MX,1580101525,86,57.99,27.98,-114.06,12.73
333,muncar,1,ID,1580101525,75,83.95,-8.43,114.33,10.38
334,vestmannaeyjar,87,IS,1580101525,63,38.77,63.44,-20.27,14.56
335,teguldet,100,RU,1580101526,76,17.28,57.31,88.17,10.85
336,robertsport,82,LR,1580101526,78,79.92,6.75,-11.37,0.78
337,manyana,9,BW,1580101526,32,68.86,-23.4,21.72,10.07
338,udala,40,ES,1580101526,75,57.2,43.08,-2.51,19.46
339,hoceni,64,RO,1580101526,70,31.95,46.54,28.01,3.31
340,lasa,5,IT,1580101526,86,30.99,46.62,10.7,5.82
341,nurobod,90,UZ,1580101527,64,35.6,40.91,69.8,2.24
342,benguela,93,AO,1580101527,81,78.19,-12.58,13.41,1.28
343,isangel,83,VU,1580101527,83,78.84,-19.55,169.27,14.76
344,kenai,1,US,1580101527,76,6.01,60.55,-151.26,6.93
345,birjand,2,IR,1580101528,86,26.6,32.87,59.22,4.7
346,ichinohe,75,JP,1580101528,44,43.0,40.21,141.3,16.11
347,toktogul,94,KG,1580101528,91,16.97,41.87,72.94,1.61
348,narva-joesuu,100,EE,1580101528,93,29.93,59.46,28.04,14.29
349,yumen,52,CN,1580101528,32,30.79,40.28,97.2,12.24
350,meulaboh,67,ID,1580101528,76,83.48,4.14,96.13,3.33
351,hovd,23,MN,1580101492,56,17.37,48.01,91.64,1.72
352,urussu,98,RU,1580101529,95,10.22,54.6,53.46,5.99
353,toora-khem,41,RU,1580101529,86,13.41,52.47,96.11,2.68
354,beloha,0,MG,1580101529,42,88.54,-25.17,45.05,8.75
355,kano,0,NG,1580101447,23,56.59,12.0,8.52,7.58
356,vao,100,NC,1580101530,82,78.28,-22.67,167.48,16.35
357,dzhebariki-khaya,60,RU,1580101530,82,-28.89,62.22,135.8,2.44
358,polunochnoye,100,RU,1580101530,95,-4.58,60.87,60.42,7.76
359,herat,75,AF,1580101530,100,30.2,34.5,62.0,2.24
360,luderitz,0,NA,1580101531,63,60.8,-26.65,15.16,6.93
361,hobyo,78,SO,1580101531,63,81.07,5.35,48.53,24.83
362,yamada,56,JP,1580101531,54,36.16,39.47,141.95,5.17
363,bozhou,79,CN,1580101531,56,43.05,33.88,115.77,7.38
364,vagamo,100,NO,1580101531,98,18.27,61.88,9.1,5.12
365,pareora,100,NZ,1580101531,90,68.0,-44.49,171.21,4.0
366,jalu,95,LY,1580101532,41,52.5,29.03,21.55,8.43
367,vardo,100,NO,1580101532,66,21.4,70.37,31.11,12.15
368,sabha,0,LY,1580101532,23,54.86,27.04,14.43,5.64
369,oktyabrskiy,98,RU,1580101532,95,10.22,54.48,53.47,5.99
370,moura,90,PT,1580101532,100,39.2,38.14,-7.45,2.24
371,estacion coahuila,1,MX,1580101533,42,62.6,32.19,-115.0,6.93
372,ghanzi,38,BW,1580101533,31,75.38,-21.57,21.78,12.26
373,laguna,1,US,1580101533,81,54.0,38.42,-121.42,4.7
374,altay,78,CN,1580101533,85,18.46,47.87,88.12,1.5
375,salalah,0,OM,1580101533,25,60.8,17.02,54.09,23.04
376,susanino,63,RU,1580101534,92,12.36,58.15,41.59,7.85
377,dingle,11,PH,1580101424,69,85.33,11.0,122.67,7.36
378,belomorsk,51,RU,1580101534,93,7.66,64.52,34.77,8.14
379,loudi,69,CN,1580101534,70,40.98,27.73,111.99,8.43
380,cabo san lucas,20,MX,1580101369,77,66.2,22.89,-109.91,4.7
381,palanga,90,LT,1580101534,93,41.0,55.92,21.07,3.36
382,clyde river,1,CA,1580101535,74,-27.4,70.47,-68.59,4.7
383,qui nhon,68,VN,1580101413,71,79.18,13.77,109.23,5.06
384,poum,12,NC,1580101535,79,79.74,-20.23,164.02,20.56
385,kholmogory,2,RU,1580101535,83,-7.6,64.22,41.66,4.47
386,kirakira,99,SB,1580101535,74,82.9,-10.45,161.92,0.85
387,coari,98,BR,1580101536,86,77.07,-4.08,-63.14,2.71
388,mokhsogollokh,100,RU,1580101536,97,-13.54,61.47,128.92,3.78
389,inirida,99,CO,1580101536,77,76.37,3.87,-67.92,1.3
390,vilhena,80,BR,1580101270,89,70.95,-12.74,-60.15,1.68
391,le port,19,RE,1580101536,57,80.6,-20.94,55.29,11.41
392,nuenen,90,NL,1580101537,93,46.99,51.47,5.55,14.99
393,andenes,100,NO,1580101537,62,23.0,69.31,16.12,23.04
394,lagoa,100,PT,1580101383,91,61.7,39.05,-27.98,23.42
395,chase,75,CA,1580101537,75,41.0,50.82,-119.69,20.8
396,orbetello,40,IT,1580101538,86,46.0,42.44,11.22,4.7
397,gonbad-e qabus,0,IR,1580101538,80,33.8,37.25,55.17,6.13
398,shahpura,20,IN,1580101538,45,66.2,27.38,75.97,6.93
399,iberia,90,US,1580101538,100,55.4,29.95,-91.75,6.93
400,los llanos de aridane,97,ES,1580101470,72,60.8,28.66,-17.92,8.05
401,jalalabad,75,AF,1580101539,25,44.6,34.43,70.45,5.17
402,meadow lake,1,US,1580101539,59,42.01,34.8,-106.54,1.43
403,starobesheve,0,UA,1580101539,81,31.53,47.75,38.03,5.97
404,moyamba,76,SL,1580101539,96,67.96,8.17,-12.43,2.42
405,jieshi,10,CN,1580101540,65,55.99,22.81,115.83,5.01
406,itarare,0,BR,1580101540,75,66.43,-24.11,-49.33,2.59
407,urumqi,40,CN,1580101540,92,12.2,43.8,87.6,4.47
408,shingu,75,JP,1580101540,62,57.2,33.73,135.98,10.29
409,namibe,89,AO,1580101540,74,74.26,-15.2,12.15,4.92
410,russell,90,US,1580101541,70,50.0,32.35,-85.2,3.27
411,kralendijk,28,BQ,1580101434,83,78.8,12.15,-68.27,5.82
412,shenkursk,100,RU,1580101541,94,0.36,62.11,42.9,8.28
413,vanavara,89,RU,1580101541,94,6.42,60.34,102.28,5.35
414,bloomingdale,75,US,1580101447,76,59.0,27.89,-82.24,4.09
415,roald,100,NO,1580101265,87,44.6,62.58,6.13,23.04
416,kamenka,97,RU,1580101542,88,34.0,51.32,42.77,8.01
417,samarai,56,PG,1580101542,58,88.72,-10.62,150.67,8.57
418,pallisa,93,UG,1580101542,80,70.05,1.15,33.71,0.78
419,balkanabat,31,TM,1580101542,62,41.04,39.51,54.37,5.17
420,iqaluit,75,CA,1580101543,68,-20.0,63.75,-68.51,6.82
421,lewistown,90,US,1580101543,86,36.0,40.6,-77.57,9.17
422,yuzhno-kurilsk,68,RU,1580101543,59,22.42,44.03,145.86,26.4
423,warrnambool,100,AU,1580101532,58,69.01,-38.38,142.48,10.33
424,sao domingos do maranhao,100,BR,1580101543,97,72.86,-5.58,-44.39,1.61
425,palmer,90,US,1580101543,69,37.99,42.16,-72.33,6.93
426,viedma,0,AR,1580101502,66,49.6,-40.81,-63.0,2.33
427,bathsheba,40,BB,1580101544,69,78.8,13.22,-59.52,10.29
428,wilmington,1,US,1580101544,70,46.0,34.23,-77.94,3.69
429,pisco,67,PE,1580101544,83,73.4,-13.7,-76.22,8.05
430,ahipara,43,NZ,1580101544,75,79.0,-35.17,173.17,7.52
431,lake charles,90,US,1580101544,100,57.2,30.21,-93.2,3.36
432,ust-nera,100,RU,1580101545,99,-31.2,64.57,143.2,3.58
433,praya,0,CV,1580101545,60,73.4,14.92,-23.51,12.75
434,kushima,75,JP,1580101545,100,60.8,31.46,131.23,25.28
435,svetlaya,0,RU,1580101545,69,21.0,46.54,138.33,4.79
436,umm kaddadah,0,SD,1580101545,27,55.99,13.6,26.69,16.04
437,rancho palos verdes,75,US,1580101369,93,59.0,33.74,-118.39,9.62
438,richards bay,100,ZA,1580101546,83,72.82,-28.78,32.04,34.67
439,sinnamary,100,GF,1580101546,83,79.47,5.38,-52.95,15.37
440,kudahuvadhoo,93,MV,1580101546,75,81.5,2.67,72.89,11.7
441,marienburg,90,PL,1580101546,100,36.0,54.04,19.03,4.7
442,batagay-alyta,0,RU,1580101546,46,-30.06,67.8,130.41,4.32
443,guanica,1,PR,1580101547,85,73.99,17.97,-66.91,4.7
444,zhanakorgan,100,KZ,1580101547,98,28.65,43.91,67.25,19.22
445,fomboni,15,KM,1580101547,74,82.72,-12.28,43.74,7.18
446,ranong,40,TH,1580101547,59,89.6,9.97,98.63,3.36
447,padang,81,ID,1580101547,82,79.2,-0.95,100.35,3.42
448,tucuman,90,AR,1580101547,83,71.6,-26.82,-65.22,13.87
449,micheweni,55,TZ,1580101548,79,81.54,-4.97,39.83,3.87
450,ulaangom,17,MN,1580101384,82,3.78,49.98,92.07,2.24
451,tucurui,81,BR,1580101548,95,74.32,-3.77,-49.67,5.53
452,kardailovo,99,RU,1580101548,94,16.41,51.54,53.9,12.28
453,villarrobledo,16,ES,1580101548,97,37.0,39.27,-2.6,1.01
454,malakal,0,SS,1580101548,18,71.78,9.53,31.66,12.17
455,moussoro,0,TD,1580101549,20,57.83,13.64,16.49,10.38
456,lovozero,96,RU,1580101549,95,2.03,68.0,35.01,13.58
457,belaya gora,82,RU,1580101549,93,-32.33,68.53,146.42,2.48
458,sabang,100,ID,1580101549,80,81.48,5.89,95.32,15.57
459,palu,83,ID,1580101464,62,84.43,-0.89,119.87,5.32
460,cascais,75,PT,1580101550,93,57.99,38.7,-9.42,9.17
461,iroquois falls,90,CA,1580101550,100,21.2,48.77,-80.68,11.41
462,harper,63,LR,1580101550,93,76.73,4.38,-7.72,2.57
463,kangaatsiaq,100,GL,1580101550,89,7.5,68.31,-53.46,16.6
464,azare,0,NG,1580101550,26,53.64,11.68,10.19,6.13
465,thunder bay,90,CA,1580101276,85,26.01,48.4,-89.32,4.7
466,katsuura,75,JP,1580101551,65,46.0,35.13,140.3,13.87
467,bombay,0,IN,1580101255,57,87.01,19.01,72.85,8.05
468,sawai madhopur,0,IN,1580101551,35,71.69,25.98,76.37,6.53
469,ketchikan,90,US,1580101334,86,42.8,55.34,-131.65,19.46
470,pangnirtung,100,CA,1580101551,98,-38.09,66.15,-65.71,0.67
471,tabou,38,CI,1580101552,94,76.44,4.42,-7.35,2.77
472,west bay,14,KY,1580101552,76,75.99,19.37,-81.42,5.01
473,udachnyy,90,RU,1580101552,75,-20.2,66.42,112.4,2.48
474,buraydah,0,SA,1580101550,47,33.8,26.33,43.98,3.36
475,mariental,0,NA,1580101552,34,66.2,-24.63,17.97,2.24
476,pafos,75,CY,1580101531,81,48.2,34.77,32.42,4.7
477,yermakovskoye,0,RU,1580101553,86,18.27,53.28,92.4,3.91
478,lermontovka,0,RU,1580101553,77,12.33,47.15,134.34,4.61
479,lompoc,1,US,1580101553,93,57.0,34.64,-120.46,4.7
480,alofi,100,NU,1580101553,79,84.2,-19.06,-169.92,8.05
481,sao gabriel da cachoeira,100,BR,1580101553,97,73.94,-0.13,-67.09,1.07
482,de-kastri,0,RU,1580101554,88,5.4,51.47,140.78,3.47
483,lata,40,PT,1580101554,87,55.0,40.16,-8.33,6.93
484,inongo,41,CD,1580101554,46,74.77,-1.95,18.27,2.08
485,swabi,73,PK,1580101319,43,57.33,34.12,72.47,2.95
486,kununurra,40,AU,1580101554,45,100.4,-15.77,128.73,5.82
487,khani,1,GE,1580101554,92,28.4,41.96,42.96,6.93
488,khor,0,RU,1580101555,87,10.09,47.89,134.95,5.75
489,zabaykalsk,0,RU,1580101555,82,8.65,49.63,117.32,2.37
490,cartagena,20,CO,1580101555,83,78.8,10.4,-75.51,8.05
491,surovatikha,90,RU,1580101555,68,30.2,55.77,43.9,20.13
492,minsk,75,BY,1580101537,88,32.0,53.9,27.57,4.47
493,concepcion,5,CL,1580101361,72,62.6,-36.83,-73.05,9.17
494,sharanga,100,RU,1580101556,86,20.41,57.18,46.54,16.06
495,paralimni,40,CY,1580101556,87,48.99,35.04,33.98,2.24
496,karratha,0,AU,1580101556,70,86.74,-20.74,116.85,17.16
497,abay,75,KZ,1580101556,92,24.8,49.63,72.85,31.32
498,pangody,78,RU,1580101556,98,-8.36,65.85,74.49,7.52
499,port hedland,3,AU,1580101557,33,100.4,-20.32,118.57,11.41
500,talara,68,PE,1580101557,92,73.56,-4.58,-81.27,10.11
501,antalaha,88,MG,1580101557,80,79.07,-14.9,50.28,18.19
502,margate,20,GB,1580101557,93,48.2,51.38,1.39,11.41
503,severo-kurilsk,86,RU,1580101557,91,19.54,50.68,156.12,10.02
504,askino,100,RU,1580101557,98,-1.62,56.09,56.58,6.87
505,maldonado,41,UY,1580101558,94,69.8,-34.67,-54.92,6.93
506,ouadda,0,CF,1580101558,19,65.37,8.08,22.4,7.81
507,karagaylinskiy,100,RU,1580101558,76,20.95,54.17,86.55,8.79
508,tashara,100,RU,1580101558,80,19.89,55.52,83.51,18.79
509,varhaug,75,NO,1580101558,93,44.01,58.61,5.65,10.29
510,hay river,75,CA,1580101558,84,1.4,60.82,-115.8,3.36
511,dimbokro,46,CI,1580101559,99,72.03,6.65,-4.7,1.1
512,kalaiya,3,NP,1580101559,55,67.19,27.03,85.0,5.53
513,tezu,0,IN,1580101559,27,67.12,27.92,96.17,3.67
514,tilichiki,94,RU,1580101559,86,23.2,60.47,166.1,11.23
515,dalvik,34,IS,1580101559,79,21.2,65.97,-18.53,11.41
516,nago,75,JP,1580101559,68,71.6,26.59,127.98,24.16
517,kamyshlov,93,RU,1580101560,93,2.1,56.84,62.71,7.02
518,conchal,0,BR,1580101560,66,64.0,-22.33,-47.17,4.21
519,talcahuano,0,CL,1580101560,72,62.6,-36.72,-73.12,9.17
520,marsh harbour,98,BS,1580101513,50,69.58,26.54,-77.06,5.28
521,fukue,75,JP,1580101560,93,50.0,32.69,128.84,25.28
522,satipo,100,PE,1580101560,93,62.65,-11.25,-74.64,2.84
523,presidencia roque saenz pena,50,AR,1580101561,49,77.34,-26.79,-60.44,3.38
524,nome,1,US,1580101561,58,-5.8,64.5,-165.41,5.82
525,iwanai,28,JP,1580101561,73,29.39,42.97,140.51,1.81
526,mehamn,75,NO,1580101561,67,21.2,71.04,27.85,8.05
527,mount pleasant,90,US,1580101439,81,51.01,32.79,-79.86,3.49
528,broken hill,0,AU,1580101561,14,96.8,-31.95,141.43,14.99
529,gayny,78,RU,1580101562,97,-5.69,60.31,54.32,3.74
530,suntar,100,RU,1580101562,88,11.32,62.14,117.63,8.95
531,saint-pierre,75,RE,1580101562,61,80.6,-21.34,55.48,6.93
532,ban nahin,76,LA,1580101562,54,76.28,18.24,104.21,5.37
533,fairbanks,90,US,1580101531,68,-15.0,64.84,-147.72,4.68
534,kirksville,90,US,1580101499,100,30.2,40.19,-92.58,9.17
535,artesia,75,US,1580101563,93,59.0,33.87,-118.08,3.78
536,zhaotong,100,CN,1580101563,80,34.63,27.32,103.72,4.7
537,williston,90,US,1580101563,100,30.2,48.15,-103.62,1.83
538,dongsheng,99,CN,1580101563,90,27.09,39.82,109.98,4.85
539,lac du bonnet,100,CA,1580101564,95,14.0,50.25,-96.06,4.29
540,bayan,0,CN,1580101564,24,39.0,46.08,127.4,0.54
541,albion,90,US,1580101407,96,33.8,42.24,-84.75,5.82
542,magaria,3,NE,1580101564,18,55.4,13.0,8.91,9.51
543,calafell,68,ES,1580101564,87,50.0,41.2,1.57,1.12
544,arvika,100,SE,1580101564,100,39.99,59.66,12.59,10.29
545,kahului,20,US,1580101565,69,77.0,20.89,-156.47,4.7
546,boa viagem,100,BR,1580101565,93,73.92,-5.13,-39.73,1.21
547,aksarka,94,RU,1580101565,98,-11.09,66.56,67.8,7.52
548,malindi,75,KE,1580101565,94,78.8,-3.22,40.12,7.07
549,columbus,90,US,1580101469,81,35.6,39.96,-83.0,3.36
550,glendive,90,US,1580101418,92,30.99,47.11,-104.71,2.68
551,anadyr,75,RU,1580101566,78,14.0,64.75,177.48,11.18
552,suez,92,EG,1580101566,66,49.62,29.97,32.53,6.44
553,syamzha,80,RU,1580101566,94,5.23,60.02,41.06,7.29
554,acajutla,10,SV,1580101566,79,80.35,13.59,-89.83,13.11
555,tual,74,ID,1580101566,71,84.56,-5.67,132.75,10.83
